Lesson,Day,Start time,End time,Teacher,Classroom
Σημασιολογικός και κοινωνικός ιστός,Wednesday,9:00,11:00,Φ. ΜΥΛΩΝΑΣ,1
Σημασιολογικός και κοινωνικός ιστός,Thursday,15:00,17:00,Μ. ΣΤΕΦΑΝΙΔΑΚΗΣ,Εργαστήριο Αρεταίος
Διοίκηση Ασφάλειας Π.Σ.,Monday,15:00,17:00,Α. ΤΣΩΧΟΥ,3
Διοίκηση Ασφάλειας Π.Σ.,Tuesday,11:00,13:00,Α. ΤΣΩΧΟΥ,3
Επεξεργασία Ομιλίας και Ήχου,Monday,17:00,19:00,Ι. ΚΑΡΥΔΗΣ,1
Επεξεργασία Ομιλίας και Ήχου,Thursday,17:00,19:00,Ι. ΚΑΡΥΔΗΣ,Εργαστήριο Γαληνός
Αποθήκες Δεδομένων και Εξόρυξη Γνώσης,Tuesday,17:00,19:00,Θ. ΕΞΑΡΧΟΣ,2
Αποθήκες Δεδομένων και Εξόρυξη Γνώσης,Wednesday,13:00,15:00,Κ. ΚΕΡΜΑΝΙΔΟΥ,Εργαστήριο Γαληνός
Παράλληλος Προγραμματισμός,Tuesday,15:00,17:00,Μ. ΣΤΕΦΑΝΙΔΑΚΗΣ,Εργαστήριο Αρεταίος
Παράλληλος Προγραμματισμός,Wednesday,17:00,19:00,Μ. ΣΤΕΦΑΝΙΔΑΚΗΣ,Εργαστήριο Αρεταίος
Έξυπνα Περιβάλλοντα και Εφαρμογές,Monday,19:00,21:00,Κ. ΧΩΡΙΑΝΟΠΟΥΛΟΣ,Εργαστήριο Αρεταίος
Έξυπνα Περιβάλλοντα και Εφαρμογές,Friday,19:00,21:00,Κ. ΧΩΡΙΑΝΟΠΟΥΛΟΣ,Εργαστήριο Αρεταίος
Ηλεκτρονική Διακυβέρνηση,Tuesday,13:00,15:00,Π. ΚΟΥΡΟΥΘΑΝΑΣΗΣ,2
Ηλεκτρονική Διακυβέρνηση,Wednesday,11:00,13:00,Π. ΚΟΥΡΟΥΘΑΝΑΣΗΣ,2
Στρατηγική και Διοίκηση Πληροφοριακών Συστημάτων,Wednesday,15:00,17:00,Α. ΠΑΤΕΛΗ,2
Στρατηγική και Διοίκηση Πληροφοριακών Συστημάτων,Thursday,13:00,15:00,Α. ΠΑΤΕΛΗ,2
